Player,Salary,WS/48
A.J. Green,2120693,0.109
Aaron Gordon,22841455,0.18
Aaron Holiday,4668000,0.211
Aaron Nesmith,11000000,0.1
Aaron Wiggins,10514017,0.126
Adem Bona,1157153,0.058
AJ Johnson,2795294,-0.131
Al Horford,9500000,0.143
Alec Burks,2087519,0.152
Alex Caruso,9890000,0.097
Alex Len,2087519,0.096
Alex Sarr,11245680,-0.018
Alperen Sengun,5424654,0.22
Amen Thompson,9249960,0.173
Amir Coffey,3938271,0.131
Andre Drummond,5000000,0.081
Andre Jackson Jr.,1891857,-0.017
Andrew Nembhard,2019699,0.012
Andrew Wiggins,26276786,0.169
Anfernee Simons,25892857,0.025
Anthony Black,7607760,0.055
Anthony Davis,43219440,0.205
Anthony Edwards,42176400,0.118
Anthony Gill,2237691,0.1
Antonio Reeves,1157153,-0.004
Ausar Thompson,8376000,0.005
Austin Reaves,12976362,0.051
Ayo Dosunmu,7000000,0.067
Bam Adebayo,34848340,0.121
Baylor Scheierman,2494320,-0.082
Ben Sheppard,2663880,0.041
Ben Simmons,40338144,0.105
Bennedict Mathurin,7245720,0.074
Bilal Coulibaly,6945240,0.029
Blake Wesley,2624280,-0.01
Bobby Portis,12578286,0.058
Bogdan Bogdanović,17260000,0.04
Bones Hyland,4158439,0.028
Bradley Beal,50203930,0.101
Brandin Podziemski,3519960,0.067
Brandon Clarke,12500000,0.164
Brandon Ingram,36016200,0.01
Brandon Miller,11424600,0.066
Brice Sensabaugh,2571480,0
Bronny James,1157153,-0.07
Brook Lopez,23000000,0.113
Buddy Hield,8780488,0.139
Cade Cunningham,13940809,0.076
Caleb Houstan,2019699,-0.067
Caleb Martin,8149001,0.014
Cam Christie,1157153,-0.05
Cam Reddish,2463946,0.051
Cam Thomas,4041249,0.075
Cam Whitmore,3379080,-0.005
Cameron Johnson,22500000,0.162
Cameron Payne,2087519,0.161
Caris LeVert,16615384,0.167
Carlton Carrington,4454880,-0.014
Cason Wallace,5555880,0.131
Charles Bassey,2087519,0.141
Chet Holmgren,10880640,0.196
Chris Boucher,10810000,0.123
Chris Duarte,5893768,0.226
Chris Livingston,1891857,0.065
Chris Paul,10460000,0.167
Christian Braun,3089640,0.126
CJ McCollum,33333333,0.039
Clint Capela,22265280,0.166
Coby White,12000000,0.061
Cody Martin,8120000,0.115
Cody Williams,5469120,-0.072
Colby Jones,2120693,-0.039
Cole Anthony,12900000,0.05
Collin Sexton,18350000,0.062
Corey Kispert,5705887,-0.016
Cory Joseph,3303771,0.159
Craig Porter Jr.,1891857,0.111
D'Angelo Russell,18692307,0.036
Dalano Banton,2196970,0.051
Dalen Terry,3510480,0.043
Dalton Knecht,3819120,0.076
Damian Lillard,48787676,0.192
Damion Lee,2087519,-0.029
Daniel Gafford,13394160,0.287
Daniel Theis,2087519,0.027
Dario Šarić,5168000,-0.045
Dariq Whitehead,3114240,0.08
Darius Garland,36725670,0.199
David Roddy,2847240,0.097
Davion Mitchell,6451077,0.005
Day'Ron Sharpe,3989122,0.165
De'Aaron Fox,34848340,0.121
De'Andre Hunter,21696429,0.138
De'Anthony Melton,12822000,0.09
Dean Wade,6166667,0.091
Deandre Ayton,34005126,0.092
DeAndre Jordan,2087519,0.02
Dejounte Murray,29517135,-0.127
Delon Wright,2087519,0.04
DeMar DeRozan,23400000,0.132
Deni Avdija,15625000,0.075
Dennis Schröder,13025250,0.08
Dereck Lively II,5014560,0.225
Derrick Jones Jr.,9523810,0.115
Derrick White,20071429,0.198
Desmond Bane,34005250,0.078
Devin Booker,49205800,0.16
Devin Vassell,29347826,0.15
Dillon Brooks,22255493,0.103
Dillon Jones,2622360,0.059
Domantas Sabonis,40500000,0.212
Donovan Clingan,6836400,0.135
Donovan Mitchell,35410310,0.152
Donte DiVincenzo,11445000,0.049
Dorian Finney-Smith,14924167,0.091
Doug McDermott,2087519,-0.006
Draymond Green,24107143,0.124
Drew Eubanks,5000000,0.055
Duncan Robinson,19406000,0.052
Duop Reath,2048780,0.009
Dwight Powell,4000000,0.184
Dyson Daniels,6059520,0.061
E.J. Liddell,706898,0.166
Eric Gordon,3303771,-0.028
Evan Mobley,11227657,0.174
Franz Wagner,7007092,0.195
Fred VanVleet,42846615,0.159
Gabe Vincent,11000000,-0.04
Garrett Temple,2087519,0.152
Garrison Mathews,2230253,0.127
Gary Harris,7500000,0.077
Gary Payton II,9130000,0.162
Gary Trent Jr.,2087519,0.042
Georges Niang,8500000,0.066
Giannis Antetokounmpo,48787676,0.256
Goga Bitadze,9057971,0.22
Gradey Dick,4763760,0.059
Grant Williams,13025250,0.09
Grayson Allen,15625000,0.047
Guerschon Yabusele,2087519,0.105
Gui Santos,1891857,0.006
Harrison Barnes,18000000,0.123
Haywood Highsmith,5200000,0.116
Herbert Jones,12976362,-0.005
Hunter Tyson,1891857,0.045
Immanuel Quickley,32500000,0.062
Isaac Okoro,10185186,0.14
Isaiah Collier,2512680,-0.154
Isaiah Hartenstein,30000000,0.197
Isaiah Jackson,4435381,0.136
Isaiah Joe,12991650,0.124
Isaiah Stewart,15000000,0.143
Ivica Zubac,11743210,0.152
Ja Morant,36725670,0.167
Ja'Kobe Walter,3465000,-0.03
Jabari Smith Jr.,9770880,0.156
Jabari Walker,2019699,0.014
Jaden Hardy,2019699,-0.047
Jaden Ivey,7977240,0.059
Jaden McDaniels,23017242,0.074
Jaden Springer,4018363,0.078
Jae'Sean Tate,7565217,0.111
Jaime Jaquez Jr.,3685800,0.072
Jake LaRavia,3352680,0.16
Jakob Poeltl,19500000,0.14
Jalen Brunson,24960001,0.201
Jalen Duren,4536840,0.151
Jalen Green,12483048,0.087
Jalen Hood-Schifino,3879840,0.134
Jalen Johnson,4510905,0.1
Jalen Pickett,1891857,-0.261
Jalen Smith,8571429,0.11
Jalen Suggs,9188385,0.086
Jalen Williams,4775760,0.218
Jalen Wilson,1891857,0.069
Jamal Murray,36016200,0.081
Jamal Shead,1862265,-0.02
James Harden,33653846,0.136
James Johnson,2087519,-0.293
James Wiseman,2237691,0.229
Jarace Walker,6362520,0.004
Jared McCain,4020360,0.101
Jaren Jackson Jr.,25257798,0.177
Jarrett Allen,20000000,0.243
Javonte Green,2087519,0.057
Jaxson Hayes,2463946,0.172
Jay Huff,2088033,0.196
Jaylen Brown,49700000,0.127
Jaylen Nowell,1943552,-0.063
Jaylen Wells,1157153,0.098
